tiktok_handle,display_name,party_name,account_type,følgere,samlet_likes,antal_videoer,hentet_dato
20260403_130924_1bb33a,maltejagerfyn,Malte Jäger,Liberal Alliance,kandidat,595,3266,60,2026-04-04
20260403_130924_1bb33a,malte.larsen0,Malte Larsen,Socialdemokratiet,kandidat,1692,43900,53,2026-04-04
20260403_130924_1bb33a,mariadurhuus1,Maria Durhuus,Socialdemokratiet,kandidat,352,6051,27,2026-04-04
20260403_130924_1bb33a,mariageorgisloth,Maria Georgi Sloth,Radikale Venstre,kandidat,3289,192500,92,2026-04-04
20260403_130924_1bb33a,mariannebigum,Marianne Bigum,SF - Socialistisk Folkeparti,kandidat,115,848,17,2026-04-04
20260403_130924_1bb33a,marleneambo,Marlene Ambo-Rasmussen,Venstre,kandidat,118,120,4,2026-04-04
20260403_130924_1bb33a,martin.lidegaard,Martin Lidegaard,Radikale Venstre,kandidat,2330,42800,22,2026-04-04
20260403_130924_1bb33a,martinrahnjohansendd,Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,kandidat,1134,11800,55,2026-04-04
20260403_130924_1bb33a,mathiassikora,Mathias Sikora,Radikale Venstre,kandidat,423,15200,35,2026-04-04
20260403_130924_1bb33a,mathildee.vintherr,Mathilde Vinther,Enhedslisten - De Rød-Grønne,kandidat,161,1810,19,2026-04-04
20260403_130924_1bb33a,mette_insider_official,Mette Frederiksen,Socialdemokratiet,kandidat,5366,125400,39,2026-04-04
20260403_130924_1bb33a,mette.reissmann,Mette Reissmann,Socialdemokratiet,kandidat,872,7115,16,2026-04-04
20260403_130924_1bb33a,miatang.dk,Mia Tang,Det Konservative Folkeparti,kandidat,501,8106,39,2026-04-04
20260403_130924_1bb33a,michael.raskliber,Michael Rask,Liberal Alliance,kandidat,43,188,14,2026-04-04
20260403_130924_1bb33a,michael.valbjrn,Michael Valbjørn,Liberal Alliance,kandidat,54,532,20,2026-04-04
20260403_130924_1bb33a,mikael_winther,Mikael Winther,Alternativet,kandidat,89,2917,175,2026-04-04
20260403_130924_1bb33a,mikkel4prez,Mikkel Sammy Christensen,SF - Socialistisk Folkeparti,kandidat,729,24500,117,2026-04-04
20260403_130924_1bb33a,mikkelwj2,Mikkel Westh Jepsen,Radikale Venstre,kandidat,449,14700,31,2026-04-04
20260403_130924_1bb33a,milo_gaarde,Milo Gaarde,SF - Socialistisk Folkeparti,kandidat,569,8815,13,2026-04-04
20260403_130924_1bb33a,morten.dahlin,Morten Dahlin,Venstre,kandidat,727,18900,66,2026-04-04
20260403_130924_1bb33a,morten.hell.moder,Morten Hell,Moderaterne,kandidat,35,254,11,2026-04-04
20260403_130924_1bb33a,mortenhogh_venstre,Morten Høgh,Venstre,kandidat,20,1313,2,2026-04-04
20260403_130924_1bb33a,mrmesserschmidt,Morten Messerschmidt,Dansk Folkeparti,kandidat,25200,454600,99,2026-04-04
20260403_130924_1bb33a,ry0m18,Morten Ryom,Socialdemokratiet,kandidat,163,234,2,2026-04-04
20260403_130924_1bb33a,morten.srensen16,Morten Sørensen,Det Konservative Folkeparti,kandidat,338,4471,36,2026-04-04
20260403_130924_1bb33a,nadjaisaksen,Nadja Natalie Isaksen,Borgernes Parti - Lars Boje Mathiesen,kandidat,1514,21000,22,2026-04-04
20260403_130924_1bb33a,nicholas.wentworth,Nicholas Wentworth,Radikale Venstre,kandidat,82,1388,6,2026-04-04
20260403_130924_1bb33a,nick.zimmermann.df,Nick Zimmermann,Dansk Folkeparti,kandidat,421,8367,7,2026-04-04
20260403_130924_1bb33a,nicklasverne,Nicklas Verne,Det Konservative Folkeparti,kandidat,918,13900,59,2026-04-04
20260403_130924_1bb33a,sandagern,Nicolai Sandager,Liberal Alliance,kandidat,2010,67000,42,2026-04-04
20260403_130924_1bb33a,nielspederravn,Niels Peder Ravn,Det Konservative Folkeparti,kandidat,131,616,9,2026-04-04
20260403_130924_1bb33a,nikolineerbs,Nikoline Erbs Hillers-Bendtsen,Alternativet,kandidat,1701,59800,394,2026-04-04
20260403_130924_1bb33a,unfuckthesystem,Noah Sturis,Alternativet,kandidat,60,286,2,2026-04-04
20260403_130924_1bb33a,olebirkolesen,Ole Birk Olesen,Liberal Alliance,kandidat,2467,23200,33,2026-04-04
20260403_130924_1bb33a,pelledragsted,Pelle Dragsted,Enhedslisten - De Rød-Grønne,kandidat,14000,263400,51,2026-04-04
20260403_130924_1bb33a,peter_hummelgaard,Peter Hummelgaard,Socialdemokratiet,kandidat,856,6762,30,2026-04-04
20260403_130924_1bb33a,peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,kandidat,484,22800,23,2026-04-04
20260403_130924_1bb33a,phillipsperling1,Phillip Sperling,Venstre,kandidat,130,1155,17,2026-04-04
20260403_130924_1bb33a,pil_christensen,Pil Christensen,Enhedslisten - De Rød-Grønne,kandidat,65,587,10,2026-04-04
20260403_130924_1bb33a,qasam_nazir_ahmad,Qasam Nazir Ahmad,Alternativet,kandidat,871,17600,115,2026-04-04
20260403_130924_1bb33a,rabihazadahmad,Rabih Azad-Ahmad,Radikale Venstre,kandidat,20000,158300,217,2026-04-04
20260403_130924_1bb33a,razfreedom,Rashid Ali,Uden for partierne,kandidat,1295,6227,263,2026-04-04
20260403_130924_1bb33a,rasmuslundnielsen_,Rasmus Lund-Nielsen,Moderaterne,kandidat,66,623,8,2026-04-04
20260403_130924_1bb33a,rasmusvestergaardmadsen,"Rasmus Vestergaard Madsen 7,",Enhedslisten - De Rød-Grønne,kandidat,329,4234,8,2026-04-04
20260403_130924_1bb33a,reza_javid,Reza Javid,Enhedslisten - De Rød-Grønne,kandidat,8393,147600,30,2026-04-04
20260403_130924_1bb33a,rikkeolssen,Rikke Olssen,Liberal Alliance,kandidat,167,774,85,2026-04-04
20260403_130924_1bb33a,denrigtigerosalund,Rosa Lund,Enhedslisten - De Rød-Grønne,kandidat,21800,768900,169,2026-04-04
20260403_130924_1bb33a,radikaleruben,Ruben Kidde,Radikale Venstre,kandidat,182,4029,25,2026-04-04
20260403_130924_1bb33a,runa.friis.hansen,Runa Friis Hansen,Enhedslisten - De Rød-Grønne,kandidat,88,31,1,2026-04-04
20260403_130924_1bb33a,runebonnelykke,Rune Bønnelykke,Dansk Folkeparti,kandidat,828,22900,27,2026-04-04
20260403_130924_1bb33a,samira.nawa,Samira Nawa,Radikale Venstre,kandidat,1475,18900,28,2026-04-04
20260403_130924_1bb33a,saraemilbaaring,Sara Emil Baaring,Socialdemokratiet,kandidat,39,135,3,2026-04-04
20260403_130924_1bb33a,saratvillingla,Sara Tvilling,Liberal Alliance,kandidat,88,709,23,2026-04-04
20260403_130924_1bb33a,saschafaxe1,Sascha Faxe,Alternativet,kandidat,92,1309,18,2026-04-04
20260403_130924_1bb33a,politikkersimonkollerup,Simon Kollerup,Socialdemokratiet,kandidat,135,1135,12,2026-04-04
20260403_130924_1bb33a,simonmeyeroff,Simon Meyer Off,SF - Socialistisk Folkeparti,kandidat,2,131,19,2026-04-04
20260403_130924_1bb33a,sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,kandidat,828,8711,39,2026-04-04
20260403_130924_1bb33a,sofie_f_villadsen,Sofie F. Villadsen,SF - Socialistisk Folkeparti,kandidat,727,15900,49,2026-04-04
20260403_130924_1bb33a,sofiewlholm,Sofie Holm,Radikale Venstre,kandidat,327,4187,32,2026-04-04
20260403_130924_1bb33a,sofielippert,Sofie Lippert,SF - Socialistisk Folkeparti,kandidat,1596,83600,107,2026-04-04
20260403_130924_1bb33a,steffen.friis,Steffen Friis,Liberal Alliance,kandidat,20,480,17,2026-04-04
20260403_130924_1bb33a,liberalbulldozer,Steffen Larsen,Liberal Alliance,kandidat,1038,4587,15,2026-04-04
20260403_130924_1bb33a,steffenfrolund,Steffen W. Frølund,Liberal Alliance,kandidat,2580,57500,29,2026-04-04
20260403_130924_1bb33a,susannedamsgaarddd,Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,kandidat,167,5502,26,2026-04-04
20260403_130924_1bb33a,svends047,Svend Stein Olsen,Liberal Alliance,kandidat,10,27,1,2026-04-04
20260403_130924_1bb33a,sorenhomann,Søren Homann,Det Konservative Folkeparti,kandidat,315,2094,73,2026-04-04
20260403_130924_1bb33a,sorenjensenla,Søren Jensen,Liberal Alliance,kandidat,100,4512,37,2026-04-04
20260403_130924_1bb33a,theresabergandersen,Theresa Berg Andersen,SF - Socialistisk Folkeparti,kandidat,396,1984,16,2026-04-04
20260403_130924_1bb33a,thomasandresen_venstre,Thomas Andresen,Venstre,kandidat,757,16500,54,2026-04-04
20260403_130924_1bb33a,thomas_anker,Thomas Anker,Alternativet,kandidat,348,4502,166,2026-04-04
20260403_130924_1bb33a,thomasdanielsendk,Thomas Danielsen,Venstre,kandidat,695,18000,14,2026-04-04
20260403_130924_1bb33a,thomasmajgaardbyr,Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,kandidat,40,525,20,2026-04-04
20260403_130924_1bb33a,thomasskovgaard44,Thomas Skovgaard,Moderaterne,kandidat,118,457,40,2026-04-04
20260403_130924_1bb33a,thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,kandidat,861,29500,39,2026-04-04
20260403_130924_1bb33a,tinacartey,Tina Cartey Hansen,Det Konservative Folkeparti,kandidat,179,4407,28,2026-04-04
20260403_130924_1bb33a,stem_tobiasjorgensen,Tobias Jørgensen,Venstre,kandidat,136,1671,29,2026-04-04
20260403_130924_1bb33a,zishan.ali2101,Zishan Ali,Moderaterne,kandidat,452,6001,43,2026-04-04
20260403_130924_1bb33a,venstredk,Venstre,Venstre,parti_national,3172,63400,143,2026-04-04
20260403_130924_1bb33a,enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,parti_lokal,2270,44400,66,2026-04-04
20260403_130924_1bb33a,venstre_odense,Venstre Odense,Venstre,parti_lokal,126,793,18,2026-04-04
20260403_130924_1bb33a,socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,parti_lokal,54,254,19,2026-04-04
20260403_130924_1bb33a,konservativungdom,Konservativ Ungdom,Det Konservative Folkeparti,ungdomsorganisation,3257,66300,139,2026-04-04
20260403_130924_1bb33a,radikalungdom,Radikal Ungdom,Radikale Venstre,ungdomsorganisation,1519,19000,155,2026-04-04
20260403_130924_1bb33a,ungdomsfront,SUF,Enhedslisten - De Rød-Grønne,ungdomsorganisation,4130,102400,54,2026-04-04
20260403_130924_1bb33a,sfungdom,SF Ungdom,SF - Socialistisk Folkeparti,ungdomsorganisation,979,18000,49,2026-04-04
20260403_130924_1bb33a,dfungdom,DFU,Dansk Folkeparti,ungdomsorganisation,5952,135000,118,2026-04-04
20260403_130924_1bb33a,ddungdom,DDU,Danmarksdemokraterne - Inger Støjberg,ungdomsorganisation,796,6392,42,2026-04-04
20260403_130924_1bb33a,vuodense,VU Odense,Venstre,ungdomsorganisation_lokal,208,10800,20,2026-04-04
20260403_130924_1bb33a,dsuaalborg,DSU Aalborg,Socialdemokratiet,ungdomsorganisation_lokal,95,983,15,2026-04-04
20260403_130924_1bb33a,dsu_odense,DSU Odense,Socialdemokratiet,ungdomsorganisation_lokal,67,384,8,2026-04-04
20260403_130924_1bb33a,dsu_snderborg,DSU Sønderborg,Socialdemokratiet,ungdomsorganisation_lokal,31,125,5,2026-04-04
20260403_130924_1bb33a,rgu.aarhus,RGU Aarhus,Enhedslisten - De Rød-Grønne,ungdomsorganisation_lokal,1736,52600,86,2026-04-04
20260403_130924_1bb33a,rgu_kbh,RGU København,Enhedslisten - De Rød-Grønne,ungdomsorganisation_lokal,1733,49000,111,2026-04-04
20260403_130924_1bb33a,modstroemmen,Modstrømmen,Ingen partitilknytning,fanpage_kommentar,5236,101300,54,2026-04-04
20260403_130924_1bb33a,df.danmark,DF Danmark,Dansk Folkeparti,fanpage_kommentar,2245,113600,1067,2026-04-04
20260403_130924_1bb33a,dfnyheder,DFNyheder,Dansk Folkeparti,fanpage_kommentar,5153,198100,102,2026-04-04
20260403_130924_1bb33a,alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,67600,715100,77,2026-04-04
20260403_130924_1bb33a,alexanderryle,Alexander Ryle,Liberal Alliance,kandidat,984,23400,59,2026-04-04
20260403_130924_1bb33a,realallanfeldt,Allan Feldt,Dansk Folkeparti,kandidat,5291,163800,159,2026-04-04
20260403_130924_1bb33a,amandaheitmann,Amanda Heitmann,Venstre,kandidat,2396,569200,131,2026-04-04
