candidate_name,party_name,storkreds,age,age_num,education,birthdate,tiktok_exists,tiktok_handle_from_url,videos_total_pre_election,videos_total_2026_pre_election,videos_last_90d,videos_last_30d,videos_last_14d,videos_last_7d,log1p_videos_total_pre_election,log1p_videos_total_2026_pre_election,log1p_videos_last_90d,log1p_videos_last_30d,log1p_videos_last_14d,log1p_videos_last_7d,candidate_votes_2026_total,party_votes_2026_total,vote_share_of_party_2026_total,candidate_votes_2022_total,party_votes_2022_total,vote_share_of_party_2022_total
Gitte Dreier Jacobsen,Alternativet,østjylland,50 år,50.0,Kandidat-/masteruddannelse,1975-12-15T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344,91770,0.0037485016890051216,,,
Gitte Eriksen,Det Konservative Folkeparti,sydjylland,52 år,52.0,Erhvervsuddannelse,1973-11-26T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719,270749,0.0026555961425526963,,,
Gorm Hoff Lauridsen,Det Konservative Folkeparti,vestjylland,36 år,36.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560,270749,0.0020683363558129486,,,
Gorm Simonsen,Radikale Venstre,nordjylland,,46.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,207442,0.0003181612209677886,,,
Gunver Birgitte Nielsen,Det Konservative Folkeparti,sydjylland,69 år,69.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227,270749,0.0008384149156598917,,,
Gunvor Wibroe,Socialdemokratiet,københavns omegn,54 år,54.0,Kandidat-/masteruddannelse,1972-02-25T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1712,779252,0.002196978641055782,1903.0,971995.0,0.0019578290011779895
Gustav Wilde,Liberal Alliance,fyn,20 år,20.0,Ikke oplyst,2005-12-26T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,334421,0.0003528486548392595,,,
HP Beck,Liberal Alliance,nordjylland,47 år,47.0,Erhvervsuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992,334421,0.0029663208949198766,758.0,278656.0,0.0027201998162609095
Halime Oguz,SF - Socialistisk Folkeparti,københavn,,46.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1567,413306,0.0037913797525320225,1234.0,293186.0,0.004208932213680053
Hanne Bjørn,Liberal Alliance,københavns omegn,54 år,54.0,Erhvervsuddannelse,1972-03-25T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378,334421,0.0011303117926206787,,,
Hanne Frølund,Radikale Venstre,vestjylland,70 år,70.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191,207442,0.0009207392909825397,,,
Hanne K. Mortensen,Alternativet,østjylland,,46.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,91770,0.0006320148196578403,,,
Hanne Roed,Radikale Venstre,østjylland,57 år,57.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764,207442,0.0036829571639301587,693.0,133931.0,0.005174306172581404
Hans Andersen,"Venstre, Danmarks Liberale Parti",nordsjælland,,46.0,Unknown,,,,,,,,,,,,,,,,2664,361689,0.007365443792871776,4031.0,470546.0,0.008566643856286102
Hans Biering Fonsbøl,Alternativet,sydjylland,81 år,81.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,91770,0.0005557371690094802,124.0,117567.0,0.0010547177354189527
Hans Blaaberg,Dansk Folkeparti,københavns omegn,55 år,55.0,Gymnasial uddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739,324518,0.002277223451395608,,,
Hans Jensen,Enhedslisten - De Rød-Grønne,nordjylland,42 år,42.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,226037,0.00029641164942022767,,,
Hans Jørgen Adamsen,"Venstre, Danmarks Liberale Parti",nordjylland,,46.0,Unknown,,,,,,,,,,,,,,,,125,361689,0.00034560077856943396,,,
Hans Kristian Skibby,Danmarksdemokraterne - Inger Støjberg,østjylland,,46.0,Unknown,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1818,205302,0.008855247391647426,,,
Hans Skou,"Venstre, Danmarks Liberale Parti",østjylland,,46.0,Unknown,,,,,,,,,,,,,,,,272,361689,0.0007520272941670883,,,
Hediye Temiz,Radikale Venstre,nordsjælland,27 år,27.0,Bachelor-/diplomuddannelse,,1.0,hediyedptemiz,29.0,26.0,26.0,24.0,14.0,8.0,3.4011973816621555,3.295836866004329,3.295836866004329,3.2188758248682006,2.70805020110221,2.1972245773362196,899,207442,0.00433374147954609,,,
Helena Artmann Andresen,Liberal Alliance,sydjylland,24 år,24.0,Gymnasial uddannelse,2001-09-26T00:00:00,1.0,helenaartmann,30.0,27.0,27.0,18.0,8.0,5.0,3.4339872044851463,3.332204510175204,3.332204510175204,2.9444389791664403,2.1972245773362196,1.791759469228055,2387,334421,0.007137709653400953,1143.0,278656.0,0.004101831649058337
Helena Hedegaard Udsen,Enhedslisten - De Rød-Grønne,sjælland,29 år,29.0,Kandidat-/masteruddannelse,1996-08-13T00:00:00,1.0,helena_hedegaard_,26.0,0.0,0.0,0.0,0.0,0.0,3.295836866004329,0.0,0.0,0.0,0.0,0.0,729,226037,0.0032251357078708354,,,
Helena Tjørnelund Christensen,Radikale Venstre,sjælland,32 år,32.0,Kandidat-/masteruddannelse,1993-07-22T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502,207442,0.0024199535291792407,,,
Helene Brochmann,SF - Socialistisk Folkeparti,københavns omegn,60 år,60.0,Kandidat-/masteruddannelse,1965-08-01T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787,413306,0.001904158178202107,,,
Helene Brydensholt,Alternativet,nordsjælland,38 år,38.0,Kandidat-/masteruddannelse,1987-08-08T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227,91770,0.013370382477933965,,,
Helene Fagerhøj,Det Konservative Folkeparti,københavn,,46.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1841,270749,0.006799655769735068,,,
Helene Hellesøe Appel,Enhedslisten - De Rød-Grønne,sydjylland,39 år,39.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361,226037,0.0015970836632940625,266.0,181452.0,0.0014659524281903755
Helene Langager,Radikale Venstre,københavn,54 år,54.0,Bachelor-/diplomuddannelse,1971-05-27T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198,207442,0.005775108223021375,,,
Helene Lykke,Liberal Alliance,sydjylland,30 år,30.0,Gymnasial uddannelse,,1.0,hjal8,15.0,15.0,15.0,15.0,9.0,4.0,2.772588722239781,2.772588722239781,2.772588722239781,2.772588722239781,2.302585092994046,1.6094379124341003,351,334421,0.001049575236004916,,,
Helge Bo Jensen,Enhedslisten - De Rød-Grønne,københavns omegn,66 år,66.0,Kandidat-/masteruddannelse,1959-07-23T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279,226037,0.0012343111968394554,232.0,181452.0,0.0012785750501510041
Helge K. Frandsen,Borgernes Parti - Lars Boje Mathiesen,vestjylland,42 år,42.0,Erhvervsuddannelse,1983-06-01T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837,75928,0.011023601306500895,,,
Helle Bonnesen,Det Konservative Folkeparti,københavn,23 år,23.0,Kandidat-/masteruddannelse,2003-02-10T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2852,270749,0.010533741583533087,2783.0,194820.0,0.01428498100811005
Helle Jensen,Liberal Alliance,vestjylland,47 år,47.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1487,334421,0.004446491099542193,240.0,278656.0,0.000861276986678916
Helle Munk Ravnborg,Enhedslisten - De Rød-Grønne,bornholm,64 år,64.0,Ph.d.-uddannelse,1961-10-13T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202,226037,0.0008936590027296416,,,
Henning Bo Madsen,Enhedslisten - De Rød-Grønne,vestjylland,68 år,68.0,Kandidat-/masteruddannelse,1958-03-28T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,226037,0.0003893167932683587,,,
Henning Jørgensen,SF - Socialistisk Folkeparti,nordjylland,,46.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183,413306,0.00044277121551586476,91.0,293186.0,0.0003103831697284318
Henning Lindberg,Enhedslisten - De Rød-Grønne,vestjylland,67 år,67.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,226037,0.00047779788264753115,,,
Henrik B. Dynesen,Liberal Alliance,sjælland,51 år,51.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,334421,0.00022426821282156323,,,
Henrik Brodersen,Dansk Folkeparti,sjælland,61 år,61.0,Erhvervsuddannelse,1964-06-03T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366,324518,0.0011278264996086504,,,
Henrik Frandsen,Moderaterne,sydjylland,65 år,65.0,Erhvervsuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4471,274775,0.016271494859430444,6206.0,327699.0,0.018938110888345707
Henrik Jacobsen,Det Konservative Folkeparti,sjælland,65 år,65.0,Kandidat-/masteruddannelse,1960-08-18T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219,270749,0.0008088672534339923,,,
Henrik Møller,Socialdemokratiet,nordsjælland,60 år,60.0,Gymnasial uddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2781,779252,0.003568807009799141,4218.0,971995.0,0.004339528495516953
Henrik Rejnholt Andersen,"Venstre, Danmarks Liberale Parti",østjylland,,46.0,Unknown,,,,,,,,,,,,,,,,354,361689,0.000978741404908637,,,
Holly Marie Turner,Enhedslisten - De Rød-Grønne,sydjylland,22 år,22.0,Gymnasial uddannelse,,1.0,hollymarieturner,9.0,9.0,9.0,9.0,3.0,2.0,2.302585092994046,2.302585092994046,2.302585092994046,2.302585092994046,1.3862943611198906,1.0986122886681098,226,226037,0.0009998363099846485,,,
Ib Poulsen,Borgernes Parti - Lars Boje Mathiesen,nordjylland,61 år,61.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372,75928,0.004899378358444843,,,
Iben Forum Jeppesen,Liberal Alliance,vestjylland,,46.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,334421,0.0002422096698472883,,,
Iben Krog,"Venstre, Danmarks Liberale Parti",sjælland,,46.0,Unknown,,,,,,,,,,,,,,,,3796,361689,0.01049520444359657,2624.0,470546.0,0.00557650049091906
Ibrahim Benli,Enhedslisten - De Rød-Grønne,københavns omegn,46 år,46.0,Kandidat-/masteruddannelse,1979-06-06T00:00:00,1.0,ibrahimbenli4,7.0,7.0,7.0,7.0,6.0,3.0,2.0794415416798357,2.0794415416798357,2.0794415416798357,2.0794415416798357,1.9459101490553132,1.3862943611198906,2740,226037,0.012121909244946624,,,
Ida Auken,Socialdemokratiet,københavn,47 år,47.0,Kandidat-/masteruddannelse,1978-04-22T00:00:00,1.0,idaauken,32.0,26.0,26.0,21.0,9.0,5.0,3.4965075614664802,3.295836866004329,3.295836866004329,3.091042453358316,2.302585092994046,1.791759469228055,11286,779252,0.014483119709670299,9879.0,971995.0,0.010163632528973914
Ida Dyhr,Det Konservative Folkeparti,sjælland,47 år,47.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1572,270749,0.005806115627389205,,,
Ina Juul Jensen,SF - Socialistisk Folkeparti,sydjylland,36 år,36.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868,413306,0.002100138880151752,,,
Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,nordjylland,,46.0,Unknown,,1.0,ingerstojberg,27.0,27.0,27.0,27.0,15.0,4.0,3.332204510175204,3.332204510175204,3.332204510175204,3.332204510175204,2.772588722239781,1.6094379124341003,29995,205302,0.1461018402158771,,,
Ingrid Heintz,Alternativet,nordsjælland,70 år,70.0,Kandidat-/masteruddannelse,1955-06-03T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,91770,0.0005448403617740002,,,
Isabel Havndrup Aackmann,Radikale Venstre,københavns omegn,25 år,25.0,Kandidat-/masteruddannelse,,1.0,havndrup,44.0,18.0,19.0,17.0,8.0,5.0,3.8066624897703196,2.9444389791664403,2.995732273553991,2.8903717578961645,2.1972245773362196,1.791759469228055,533,207442,0.0025693928905428987,,,
Isabella Apelroth,Alternativet,sjælland,,46.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,91770,0.0004903563255966002,,,
Isabella Arendt,Det Konservative Folkeparti,københavns omegn,32 år,32.0,Bachelor-/diplomuddannelse,1993-05-07T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2132,270749,0.007874451983202154,,,
Jacob Abildgaard,Enhedslisten - De Rød-Grønne,vestjylland,,46.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,226037,0.00021677866897897247,,,
Jacob Antvorskov,Alternativet,sjælland,50 år,50.0,Bachelor-/diplomuddannelse,1976-01-01T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295,91770,0.0032145581344666012,,,
Jacob Bentsen,Dansk Folkeparti,sjælland,59 år,59.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,324518,0.0003204752895062832,,,
Jacob Harris,Borgernes Parti - Lars Boje Mathiesen,sjælland,40 år,40.0,Erhvervsuddannelse,,1.0,jacob.harris.borg,8.0,8.0,8.0,6.0,6.0,6.0,2.1972245773362196,2.1972245773362196,2.1972245773362196,1.9459101490553132,1.9459101490553132,1.9459101490553132,2307,75928,0.030384048045516806,,,
Jacob Holm,Alternativet,fyn,42 år,42.0,Seminaruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,91770,0.0012967200610221204,,,
Jacob Jensen,"Venstre, Danmarks Liberale Parti",sjælland,,46.0,Unknown,,,,,,,,,,,,,,,,4265,361689,0.011791898564789087,5797.0,470546.0,0.01231973069582995
Jacob Mark,SF - Socialistisk Folkeparti,nordsjælland,34 år,34.0,Bachelor-/diplomuddannelse,1991-10-16T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12139,413306,0.02937049062921903,,,
Jacob Robsøe,Radikale Venstre,nordjylland,29 år,29.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677,207442,0.003263562827199892,,,
Jacob Skjærris,Det Konservative Folkeparti,østjylland,57 år,57.0,Kandidat-/masteruddannelse,1968-06-14T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,270749,0.001292710222383093,,,
Jacob Stryhn,Det Konservative Folkeparti,sjælland,55 år,55.0,Erhvervsuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596,270749,0.0022013008358294952,631.0,194820.0,0.0032388871779078124
Jacqueline Kristensen,Liberal Alliance,københavns omegn,56 år,56.0,Seminaruddannelse,1970-03-12T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169,334421,0.0005053510395579225,,,
Jakob Engel-Schmidt,Moderaterne,københavn,42 år,42.0,Kandidat-/masteruddannelse,,1.0,jakobengelschmidt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8132,274775,0.029595123282685834,,,
Jakob Jensen,Enhedslisten - De Rød-Grønne,østjylland,31 år,31.0,Erhvervsuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274,226037,0.0012121909244946624,,,
Jakob Larsen,Radikale Venstre,fyn,51 år,51.0,Kandidat-/masteruddannelse,,1.0,jakob.larsen.rv,18.0,17.0,17.0,15.0,12.0,3.0,2.9444389791664403,2.8903717578961645,2.8903717578961645,2.772588722239781,2.5649493574615367,1.3862943611198906,1176,207442,0.005669054482698778,,,
Jakob Ravn Karlsen,Alternativet,københavn,26 år,26.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,91770,0.0011659583741963605,,,
Jakob Venø Heiwald,Danmarksdemokraterne - Inger Støjberg,sydjylland,,46.0,Unknown,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439,205302,0.0021383133140446754,,,
Jan Carlsen,Moderaterne,sjælland,60 år,60.0,Ikke oplyst,1965-10-21T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,274775,0.000680556819215722,324.0,327699.0,0.0009887122023564308
Jan E. Jørgensen,"Venstre, Danmarks Liberale Parti",københavn,,46.0,Unknown,,,,,,,,,,,,,,,,3538,361689,0.009781884436629258,4270.0,470546.0,0.009074564442158683
Jan Herskov,Dansk Folkeparti,sjælland,59 år,59.0,Erhvervsuddannelse,1966-07-15T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460,324518,0.0014174868574316371,224.0,93428.0,0.0023975681808451428
Jan Kristoffersen,Alternativet,københavn,,46.0,Ikke oplyst,,1.0,jankristoffersen,29.0,29.0,29.0,29.0,14.0,7.0,3.4011973816621555,3.4011973816621555,3.4011973816621555,3.4011973816621555,2.70805020110221,2.0794415416798357,554,91770,0.006036831208455922,751.0,117567.0,0.0063878469298357535
Jan Køpke Christensen,Borgernes Parti - Lars Boje Mathiesen,sydjylland,71 år,71.0,Gymnasial uddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507,75928,0.006677378569170793,,,
Jan Schumann,Alternativet,københavn,,46.0,Ikke oplyst,,1.0,blandemaskinen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,91770,0.0006320148196578403,52.0,117567.0,0.0004423009858208511
Jan Werner Mathiasen,Radikale Venstre,fyn,54 år,54.0,Kandidat-/masteruddannelse,1972-03-14T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1155,207442,0.0055678213669363005,457.0,133931.0,0.0034122047920197712
Jane Christensen,Det Konservative Folkeparti,sjælland,,46.0,Ikke oplyst,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445,270749,0.0016435887113156467,,,
Jannie Boysen Westergaard,Det Konservative Folkeparti,sydjylland,55 år,55.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954,270749,0.0035235587204384875,,,
Jarl Feyling,Socialdemokratiet,københavn,,46.0,Ikke oplyst,,1.0,jarlfeyling,7.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,72,779252,9.239629798832727e-05,265.0,971995.0,0.0002726351473001404
Jarl Matthiesen,"Venstre, Danmarks Liberale Parti",vestjylland,,46.0,Unknown,,,,,,,,,,,,,,,,240,361689,0.0006635534948533132,64.0,470546.0,0.00013601220709558683
Jeanne Bergmansen,SF - Socialistisk Folkeparti,sjælland,36 år,36.0,Kandidat-/masteruddannelse,1989-05-01T00:00:00,1.0,jeannebergmansensf,11.0,1.0,1.0,1.0,1.0,0.0,2.4849066497880004,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,659,413306,0.00159446027882489,,,
Jens Anton Tingstrøm,Socialdemokratiet,københavns omegn,37 år,37.0,Bachelor-/diplomuddannelse,1989-01-15T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373,779252,0.0017619460713607408,,,
Jens Frost,Radikale Venstre,københavns omegn,52 år,52.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235,207442,0.001132846771627732,,,
Jens Henrik W. Thulesen Dahl,Danmarksdemokraterne - Inger Støjberg,fyn,,46.0,Unknown,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447,205302,0.007048153451987804,,,
Jens Kannegaard Lundager,Dansk Folkeparti,østjylland,59 år,59.0,Gymnasial uddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516,324518,0.0015900504748580973,,,
Jens Langer Schou,Det Konservative Folkeparti,sydjylland,20 år,20.0,Gymnasial uddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,270749,0.0005318579200661868,,,
Jens Meilvang,Liberal Alliance,østjylland,45 år,45.0,Bachelor-/diplomuddannelse,,1.0,jensmeilvang165,16.0,16.0,16.0,11.0,2.0,1.0,2.833213344056216,2.833213344056216,2.833213344056216,2.4849066497880004,1.0986122886681098,0.6931471805599453,2385,334421,0.007131729167725711,1642.0,278656.0,0.00589257005052825
Jens Skov,SF - Socialistisk Folkeparti,nordsjælland,59 år,59.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327,413306,0.0007911813523152338,351.0,293186.0,0.0011971922260953797
Jeppe Bruus,Socialdemokratiet,fyn,47 år,47.0,Ikke oplyst,1978-04-20T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5501,779252,0.007059333822691504,,,
Jeppe Fransson,Radikale Venstre,sjælland,37 år,37.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,207442,0.001074999276906316,,,
Jeppe Trolle,Radikale Venstre,sjælland,56 år,56.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244,207442,0.0011762323926687941,319.0,133931.0,0.0023818234762676303
Jeppe von Berg,Moderaterne,vestjylland,29 år,29.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408,274775,0.0014848512419252116,,,
Jes Halfdan,Borgernes Parti - Lars Boje Mathiesen,vestjylland,61 år,61.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729,75928,0.009601201137920136,,,
Jesper Bierbaum,"Venstre, Danmarks Liberale Parti",sydjylland,,46.0,Unknown,,,,,,,,,,,,,,,,958,361689,0.002648684366956142,,,
Jesper Callesen,Alternativet,københavns omegn,66 år,66.0,Kandidat-/masteruddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,91770,0.0005230467473030402,137.0,117567.0,0.0011652929818741654
Jesper Hartøft,SF - Socialistisk Folkeparti,sjælland,47 år,47.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551,413306,0.0013331526762253632,,,
Jesper Kiel,Enhedslisten - De Rød-Grønne,fyn,60 år,60.0,Erhvervsuddannelse,1966-01-10T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780,226037,0.003450762485787725,,,
Jesper Petersen,Socialdemokratiet,sydjylland,44 år,44.0,Bachelor-/diplomuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6188,779252,0.007940948499330127,8701.0,971995.0,0.008951692138334045
Jette Juul,Dansk Folkeparti,nordsjælland,55 år,55.0,Erhvervsuddannelse,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405,324518,0.0012480047331735065,,,
Jette Larsen,Det Konservative Folkeparti,københavns omegn,47 år,47.0,Ph.d.-uddannelse,1978-07-12T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377,270749,0.001392433582395503,,,
Jiesper Tristan Pedersen,Alternativet,københavn,52 år,52.0,Ph.d.-uddannelse,1974-02-07T00:00:00,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971,91770,0.010580799825651084,,,
